order_id,month,region,product,quantity,unit_price,status,revenue
1001,Jul,West,Keyboard,12,12806,Shipped,153672
1002,Apr,West,Keyboard,15,11003,Resolved,165045
1003,Nov,South,Monitor,17,19725,Resolved,335325
1004,Aug,East,Headphones,10,37476,Resolved,374760
1005,May,South,Phone,6,12090,On Hold,72540
1006,Jul,South,Camera,18,11386,Resolved,204948
1007,Oct,South,Keyboard,13,13366,Cancelled,173758
1008,Mar,East,Mouse,3,1588,On Hold,4764
1009,Jul,West,Tablet,10,3863,Shipped,38630
1010,Nov,East,Laptop,14,33292,Shipped,466088
1011,Nov,North,Laptop,6,10264,Shipped,61584
1012,Aug,East,Laptop,3,21120,On Hold,63360
1013,May,East,Camera,16,43227,Cancelled,691632
1014,Apr,East,Headphones,7,13435,Resolved,94045
1015,Aug,East,Phone,14,8568,Resolved,119952
1016,Aug,West,Monitor,9,7795,Shipped,70155
1017,Mar,North,Camera,15,41660,Shipped,624900
1018,Jun,West,Camera,3,11890,On Hold,35670
1019,May,West,Keyboard,2,41716,Cancelled,83432
1020,Feb,East,Tablet,2,20631,Resolved,41262
1021,Aug,South,Camera,3,29718,On Hold,89154
1022,Dec,South,Mouse,18,10933,Resolved,196794
1023,Jun,West,Tablet,14,15538,Shipped,217532
1024,Feb,West,Mouse,18,28682,Resolved,516276
1025,Dec,East,Headphones,10,12028,Cancelled,120280
1026,May,West,Phone,2,21781,Cancelled,43562
1027,Jan,East,Laptop,1,49011,Shipped,49011
1028,Dec,South,Camera,4,9105,Cancelled,36420
1029,Oct,South,Phone,14,35282,Cancelled,493948
1030,Jun,North,Headphones,1,1881,On Hold,1881
1031,Dec,South,Monitor,14,1598,Resolved,22372
1032,Sep,West,Monitor,16,20310,Shipped,324960
1033,Jan,South,Headphones,14,24822,Shipped,347508
1034,Nov,East,Mouse,3,42369,Shipped,127107
1035,Nov,South,Keyboard,3,33455,Shipped,100365
1036,Oct,North,Keyboard,9,45216,Shipped,406944
1037,Dec,South,Mouse,6,10707,Cancelled,64242
1038,Dec,East,Monitor,13,22293,On Hold,289809
